2020-07-06 18:12:20,875 root (line 58) | INFO     | Starting logging...
2020-07-06 18:12:21,027 root (line 12) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:12:21,239 root (line 23) | INFO     | [ v ] Training complete.
2020-07-06 18:12:21,240 root (line 27) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:12:21,240 root (line 32) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:12:21,466 root (line 39) | INFO     | [...] Predicting
2020-07-06 18:12:23,998 root (line 51) | ERROR    | OpenCV(4.3.0) C:\projects\opencv-python\opencv\modules\imgcodecs\src\loadsave.cpp:667: error: (-2:Unspecified error) could not find a writer for the specified extension in function 'cv::imwrite_'

2020-07-06 18:13:15,125 root (line 58) | INFO     | Starting logging...
2020-07-06 18:13:15,291 root (line 12) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:13:15,516 root (line 23) | INFO     | [ v ] Training complete.
2020-07-06 18:13:15,516 root (line 26) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:13:15,517 root (line 31) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:13:15,747 root (line 38) | INFO     | [...] Predicting
2020-07-06 18:14:49,222 root (line 58) | INFO     | Starting logging...
2020-07-06 18:14:49,384 root (line 12) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:14:51,174 root (line 23) | INFO     | [ v ] Training complete.
2020-07-06 18:14:51,174 root (line 26) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:14:51,174 root (line 31) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:14:51,402 root (line 38) | INFO     | [...] Predicting
2020-07-06 18:31:35,044 root (line 58) | INFO     | Starting logging...
2020-07-06 18:31:35,207 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:31:35,454 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:31:35,454 root (line 32) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:31:35,455 root (line 37) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:31:35,681 root (line 44) | INFO     | [...] Predicting
2020-07-06 18:31:38,259 root (line 53) | INFO     | [OUT] > sample_predict.jpg
2020-07-06 18:32:33,212 root (line 58) | INFO     | Starting logging...
2020-07-06 18:32:33,900 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:32:34,137 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:32:34,137 root (line 32) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:32:34,138 root (line 37) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:32:34,367 root (line 44) | INFO     | [...] Predicting
2020-07-06 18:32:46,157 root (line 58) | INFO     | Starting logging...
2020-07-06 18:32:46,309 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:32:46,515 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:32:46,515 root (line 32) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:32:46,516 root (line 37) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:32:46,743 root (line 44) | INFO     | [...] Predicting
2020-07-06 18:32:52,173 root (line 53) | INFO     | [OUT] > sample_predict.jpg
2020-07-06 18:33:15,978 root (line 58) | INFO     | Starting logging...
2020-07-06 18:33:16,370 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:33:16,579 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:33:16,579 root (line 32) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:33:16,579 root (line 37) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:33:16,806 root (line 44) | INFO     | [...] Predicting
2020-07-06 18:33:17,325 root (line 53) | INFO     | [OUT] > sample_predict.jpg
2020-07-06 18:33:27,101 root (line 58) | INFO     | Starting logging...
2020-07-06 18:33:27,255 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:33:27,462 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:33:27,462 root (line 32) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:33:27,463 root (line 37) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:33:27,692 root (line 44) | INFO     | [...] Predicting
2020-07-06 18:33:28,630 root (line 53) | INFO     | [OUT] > sample_predict.jpg
2020-07-06 18:33:36,475 root (line 58) | INFO     | Starting logging...
2020-07-06 18:33:36,627 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:33:36,834 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:33:36,835 root (line 32) | INFO     | [...] Adding Layers to Caffe...
2020-07-06 18:33:36,835 root (line 37) | INFO     | [...] Extracting L channel and resazing it
2020-07-06 18:33:37,061 root (line 44) | INFO     | [...] Predicting
2020-07-06 18:33:37,497 root (line 53) | INFO     | [OUT] > sample_predict.jpg
2020-07-06 18:36:26,200 root (line 13) | INFO     | [IN] > sample_bw.jpg
2020-07-06 18:36:26,408 root (line 24) | INFO     | [ v ] Training complete.
2020-07-06 18:36:26,408 root (line 32) | INFO     | [...] Adding Layers to Caffe...
